,Gene stable ID,Gene name,Transcript name,RefSeq match transcript (MANE Select),Ensembl Canonical,Transcript stable ID,gene_id
11694,ENSG00000177842,ZNF620,ZNF620-201,NM_175888.4,True,ENST00000314529,ENSG00000177842.12
11695,ENSG00000237125,HAND2-AS1,HAND2-AS1-246,,True,ENST00000647106,ENSG00000237125.9
11696,ENSG00000266893,,,,True,ENST00000589999,ENSG00000266893.1
11697,ENSG00000226435,ANKRD18DP,ANKRD18DP-201,,True,ENST00000455355,ENSG00000226435.10
11698,ENSG00000272721,EIF2B5-DT,EIF2B5-DT-201,,True,ENST00000608135,ENSG00000272721.5
11699,ENSG00000144134,RABL2A,RABL2A-219,NM_001306158.2,True,ENST00000683472,ENSG00000144134.18
11700,ENSG00000269001,ZNF818P,ZNF818P-201,,True,ENST00000598377,ENSG00000269001.2
11701,ENSG00000229638,RPL4P4,RPL4P4-201,,True,ENST00000422486,ENSG00000229638.1
11702,ENSG00000184206,GOLGA6L4,GOLGA6L4-202,NM_001267536.3,True,ENST00000510439,ENSG00000184206.11
11703,ENSG00000169955,ZNF747,ZNF747-204,NM_001305018.2,True,ENST00000693075,ENSG00000169955.7
11704,ENSG00000214188,ST7-OT4,ST7-OT4-205,,True,ENST00000471110,ENSG00000214188.9
11705,ENSG00000239407,,,,True,ENST00000426528,ENSG00000239407.5
11706,ENSG00000232434,AJM1,AJM1-201,NM_001080482.5,True,ENST00000436881,ENSG00000232434.2
11707,ENSG00000132010,ZNF20,ZNF20-201,NM_021143.4,True,ENST00000334213,ENSG00000132010.15
11708,ENSG00000214967,NPIPA7,NPIPA7-202,NM_001282507.2,True,ENST00000530217,ENSG00000214967.5
11709,ENSG00000149582,TMEM25,TMEM25-201,NM_032780.4,True,ENST00000313236,ENSG00000149582.15
11710,ENSG00000169429,CXCL8,CXCL8-201,NM_000584.4,True,ENST00000307407,ENSG00000169429.10
11711,ENSG00000130449,ZSWIM6,ZSWIM6-201,NM_020928.2,True,ENST00000252744,ENSG00000130449.5
11712,ENSG00000213859,KCTD11,KCTD11-201,NM_001363642.1,True,ENST00000333751,ENSG00000213859.5
11713,ENSG00000106479,ZNF862,ZNF862-201,NM_001099220.3,True,ENST00000223210,ENSG00000106479.10
11714,ENSG00000101335,MYL9,MYL9-201,NM_006097.5,True,ENST00000279022,ENSG00000101335.9
11715,ENSG00000240489,SETP14,SETP14-201,,True,ENST00000497538,ENSG00000240489.1
11716,ENSG00000160321,ZNF208,ZNF208-201,NM_007153.3,True,ENST00000397126,ENSG00000160321.14
11717,ENSG00000186152,LILRP1,LILRP1-201,,True,ENST00000444199,ENSG00000186152.6
11718,ENSG00000053524,MCF2L2,MCF2L2-201,NM_015078.4,True,ENST00000328913,ENSG00000053524.12
11719,ENSG00000254485,,,,True,ENST00000491930,ENSG00000254485.5
11720,ENSG00000268520,,,,True,ENST00000595500,ENSG00000268520.1
11721,ENSG00000234329,RPL7AP16,RPL7AP16-201,,True,ENST00000437848,ENSG00000234329.1
11722,ENSG00000276931,,,,True,ENST00000620075,ENSG00000276931.1
11723,ENSG00000233870,,,,True,ENST00000437460,ENSG00000233870.1
11724,ENSG00000232104,RFX3-DT,RFX3-DT-207,,True,ENST00000701201,ENSG00000232104.3
11725,ENSG00000072840,EVC,EVC-201,NM_153717.3,True,ENST00000264956,ENSG00000072840.12
11726,ENSG00000138814,PPP3CA,PPP3CA-203,NM_000944.5,True,ENST00000394854,ENSG00000138814.16
11727,ENSG00000267858,MZF1-AS1,MZF1-AS1-202,,True,ENST00000600534,ENSG00000267858.5
11728,ENSG00000254539,,,,True,ENST00000466343,ENSG00000254539.1
11729,ENSG00000103599,IQCH,IQCH-201,NM_001031715.3,True,ENST00000335894,ENSG00000103599.19
11730,ENSG00000006282,SPATA20,SPATA20-201,NM_022827.4,True,ENST00000006658,ENSG00000006282.20
11731,ENSG00000109680,TBC1D19,TBC1D19-201,NM_018317.4,True,ENST00000264866,ENSG00000109680.10
11732,ENSG00000213199,ASIC3,ASIC3-202,NM_004769.4,True,ENST00000349064,ENSG00000213199.7
11733,ENSG00000112139,MDGA1,MDGA1-203,NM_153487.4,True,ENST00000434837,ENSG00000112139.15
11734,ENSG00000267632,,,,True,ENST00000591237,ENSG00000267632.1
11735,ENSG00000113273,ARSB,ARSB-201,NM_000046.5,True,ENST00000264914,ENSG00000113273.16
11736,ENSG00000156453,PCDH1,PCDH1-201,NM_032420.5,True,ENST00000287008,ENSG00000156453.13
